id,observed_on,time_observed_at,user_id,url,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name,field:oba collector id,field:trap installed,field:trap removed
24457787,5/3/2019,2019-05-03 18:44:37 UTC,1447015,https://www.inaturalist.org/observations/24457787,42.34474605,-123.6196591,5,Josephine,Oregon,United States,Whiteleaf Manzanita,Arctostaphylos viscida,Whiteleaf Manzanita,Plantae,55135,Arctostaphylos,Arctostaphylos viscida,,,
24458646,5/3/2019,2019-05-03 18:58:06 UTC,620505,https://www.inaturalist.org/observations/24458646,42.34449973,-123.6193811,32,Josephine,Oregon,United States,Lupines,Lupinus,lupines,Plantae,47121,Lupinus,,,,
24462254,5/3/2019,2019-05-03 19:55:06 UTC,1447015,https://www.inaturalist.org/observations/24462254,42.3568507,-123.6587972,5,Josephine,Oregon,United States,,Pinus jeffreyi,Jeffrey pine,Plantae,48463,Pinus,Pinus jeffreyi,,,
24463819,5/3/2019,2019-05-03 20:17:53 UTC,754260,https://www.inaturalist.org/observations/24463819,44.63185109,-123.1969452,5,Benton,Oregon,United States,Fivespot,Nemophila maculata,fivespot,Plantae,59936,Nemophila,Nemophila maculata,,,
24464544,5/3/2019,2019-05-03 20:30:36 UTC,754260,https://www.inaturalist.org/observations/24464544,44.63183765,-123.1969598,7,Benton,Oregon,United States,Tidy Tips,Layia platyglossa,tidy tips,Plantae,50876,Layia,Layia platyglossa,,,
24466506,5/3/2019,2019-05-03 21:00:48 UTC,754260,https://www.inaturalist.org/observations/24466506,44.63178352,-123.1969,5,Benton,Oregon,United States,California Poppy,Eschscholzia californica,California poppy,Plantae,48225,Eschscholzia,Eschscholzia californica,,,
24467687,5/3/2019,2019-05-03 21:19:46 UTC,754260,https://www.inaturalist.org/observations/24467687,44.63184096,-123.1965021,3,Benton,Oregon,United States,Menzies' Baby Blue Eyes,Nemophila menziesii,Menzies' baby blue eyes,Plantae,50648,Nemophila,Nemophila menziesii,,,
24475100,5/3/2019,2019-05-03 22:46:52 UTC,175529,https://www.inaturalist.org/observations/24475100,44.62548487,-123.2172052,5,Benton,Oregon,United States,,Iris tenax,Oregon iris,Plantae,57727,Iris,Iris tenax,,,
24478149,5/3/2019,2019-05-03 20:35:58 UTC,175529,https://www.inaturalist.org/observations/24478149,44.63286246,-123.1973094,5,Benton,Oregon,United States,,Raphanus,,Plantae,55412,Raphanus,,,,
24478851,5/3/2019,2019-05-03 22:31:52 UTC,1447015,https://www.inaturalist.org/observations/24478851,42.4945758,-123.7126552,5,Josephine,Oregon,United States,huckleberry oak,Quercus vacciniifolia,huckleberry oak,Plantae,78810,Quercus,Quercus vacciniifolia,,,
24479028,5/3/2019,2019-05-03 23:11:21 UTC,1447015,https://www.inaturalist.org/observations/24479028,42.49420042,-123.7130903,5,Josephine,Oregon,United States,,Arctostaphylos uva-ursi,bearberry,Plantae,68049,Arctostaphylos,Arctostaphylos uva-ursi,,,
24479889,5/3/2019,2019-05-03 23:02:42 UTC,754260,https://www.inaturalist.org/observations/24479889,44.62538731,-123.2170807,6,Benton,Oregon,United States,Bees flying close to ground or resting on vegetation in Iris tenax propagation bed,,,,,,,,,
24479926,5/3/2019,2019-05-03 21:38:43 UTC,327525,https://www.inaturalist.org/observations/24479926,44.85784404,-122.2486379,72,Marion,Oregon,United States,,Micranthes integrifolia,Wholeleaf Saxifrage,Plantae,78027,Micranthes,Micranthes integrifolia,,,
24479946,5/3/2019,2019-05-03 21:52:36 UTC,327525,https://www.inaturalist.org/observations/24479946,44.85584214,-122.2421703,431,Marion,Oregon,United States,,Vaccinium parvifolium,Red Huckleberry,Plantae,48354,Vaccinium,Vaccinium parvifolium,,,
24483763,5/3/2019,2019-05-03 20:24:52 UTC,733757,https://www.inaturalist.org/observations/24483763,44.63184801,-123.1969047,8,Benton,Oregon,United States,,Nemophila,baby blue eyes,Plantae,50651,Nemophila,,,,
24485714,5/3/2019,2019-05-03 21:00:05 UTC,1492386,https://www.inaturalist.org/observations/24485714,44.91067251,-120.3702457,10,Wheeler,Oregon,United States,Bitterbrudh,Purshia tridentata,antelope brush,Plantae,67804,Purshia,Purshia tridentata,,,
24485753,5/3/2019,2019-05-03 22:05:19 UTC,1492386,https://www.inaturalist.org/observations/24485753,44.91500218,-120.2693622,10,Wheeler,Oregon,United States,Cherry,Prunus emarginata,Bitter cherry,Plantae,63905,Prunus,Prunus emarginata,,,
24486866,5/3/2019,2019-05-03 22:18:07 UTC,175529,https://www.inaturalist.org/observations/24486866,44.62525316,-123.2174214,5,Benton,Oregon,United States,Lacy Phacelia,Phacelia tanacetifolia,Lacy phacelia,Plantae,58185,Phacelia,Phacelia tanacetifolia,,,
24487204,5/3/2019,2019-05-03 20:53:52 UTC,620505,https://www.inaturalist.org/observations/24487204,42.44275324,-123.6825603,32,Josephine,Oregon,United States,tiny white flowers,,,,,,,,,
24487218,5/3/2019,2019-05-03 21:23:48 UTC,620505,https://www.inaturalist.org/observations/24487218,42.44282349,-123.6833041,32,Josephine,Oregon,United States,Insect net,,,,,,,,,
24487223,5/3/2019,2019-05-03 23:34:14 UTC,620505,https://www.inaturalist.org/observations/24487223,42.49525708,-123.7120022,48,Josephine,Oregon,United States,Greenleaf Manzanita,Arctostaphylos patula,greenleaf manzanita,Plantae,75537,Arctostaphylos,Arctostaphylos patula,,,
24495022,5/3/2019,2019-05-03 20:13:00 UTC,620505,https://www.inaturalist.org/observations/24495022,42.44310833,-123.6824722,24,Josephine,Oregon,United States,Biscuitroots,Lomatium,Biscuitroots,Plantae,55343,Lomatium,,,,
24495700,5/3/2019,2019-05-04 06:10:00 UTC,620505,https://www.inaturalist.org/observations/24495700,42.4431,-123.6824,,Josephine,Oregon,United States,Montia,Montia,,Plantae,48790,Montia,,,,
24495844,5/3/2019,2019-05-04 06:22:00 UTC,620505,https://www.inaturalist.org/observations/24495844,42.4952,-123.712,,Josephine,Oregon,United States,Bare ground,,,,,,,,,
24529695,5/4/2019,2019-05-04 18:56:22 UTC,1467387,https://www.inaturalist.org/observations/24529695,,,4,,,,Japanese andromeda,Pieris japonica,Japanese andromeda,Plantae,127181,Pieris,Pieris japonica,,2019-05-04T12:27:00-07:00,
24533468,5/4/2019,2019-05-04 19:52:34 UTC,816767,https://www.inaturalist.org/observations/24533468,45.13382283,-123.3724523,10,Yamhill,Oregon,United States,Pussy-Ears,Calochortus tolmiei,Pussy-ears,Plantae,50840,Calochortus,Calochortus tolmiei,,,
24537655,5/4/2019,2019-05-04 20:46:55 UTC,752114,https://www.inaturalist.org/observations/24537655,44.88439356,-122.887596,5,Marion,Oregon,United States,,Plectritis congesta,shortspur seablush,Plantae,57786,Plectritis,Plectritis congesta,,,
