id,observed_on,time_observed_at,user_id,user_login,url,scientific_name,taxon_family_name,field:number of bees collected,field:sample id.
22663985,2019-04-18,2019-04-18 17:42:01 UTC,792468,molfamily,https://www.inaturalist.org/observations/22663985,Taraxacum officinale,Asteraceae,54,276
22668320,2019-04-18,2019-04-18 18:15:29 UTC,792468,molfamily,https://www.inaturalist.org/observations/22668320,Taraxacum officinale,Asteraceae,20,277
22670414,2019-04-18,2019-04-18 19:06:07 UTC,792468,molfamily,https://www.inaturalist.org/observations/22670414,Ribes aureum,Grossulariaceae,6,278
22671123,2019-04-18,2019-04-18 19:21:07 UTC,792468,molfamily,https://www.inaturalist.org/observations/22671123,Mahonia,Berberidaceae,2,279
22672474,2019-04-18,2019-04-18 19:50:50 UTC,792468,molfamily,https://www.inaturalist.org/observations/22672474,Brassica rapa,Brassicaceae,6,280
22673289,2019-04-18,2019-04-18 20:06:30 UTC,792468,molfamily,https://www.inaturalist.org/observations/22673289,Salix,Salicaceae,9,281
22675271,2019-04-18,2019-04-18 18:46:49 UTC,1462047,marksg,https://www.inaturalist.org/observations/22675271,Salicaceae,Salicaceae,5,16
22675699,2019-04-18,2019-04-18 21:07:04 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/22675699,Berberis aquifolium,Berberidaceae,12,202
22675862,2019-04-18,2019-04-18 21:13:11 UTC,792468,molfamily,https://www.inaturalist.org/observations/22675862,Prunus,Rosaceae,1,282
22676025,2019-04-18,2019-04-18 21:16:42 UTC,808137,robmor,https://www.inaturalist.org/observations/22676025,Berberis aquifolium,Berberidaceae,4,2
22676998,2019-04-18,2019-04-18 18:22:29 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/22676998,Lonicera involucrata,Caprifoliaceae,2,56
22677016,2019-04-18,2019-04-18 20:44:10 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/22677016,Gaultheria shallon,Ericaceae,1,57
