id,observed_on,time_observed_at,user_id,image_url,place_guess,latitude,longitude,positional_accuracy,place_town_name,place_county_name,place_state_name,place_admin1_name,place_admin2_name,scientific_name,field:flower bee is visiting,field:location name,field:number of bees collected,field:oba collection method,field:oba collector id,field:sample id,field:trap installed,field:trap removed
13456829,6/15/2018,2018-06-15 17:33:16 UTC,800960,https://static.inaturalist.org/photos/19753841/medium.jpg?1529088477,"8633 Mosier the Dalles Hwy, Mosier, OR, US",45.68747833,-121.3857717,5,,Wasco,Oregon,Oregon,Wasco,Cyanus segetum,,,3,net,A,26,,
10299013,3/18/2018,2018-03-18 22:40:40 UTC,429964,https://static.inaturalist.org/photos/14319340/medium.jpeg?1521575867,"3070 SW Morris Ave, Corvallis, OR 97333, USA",44.55552457,-123.2854209,7,,Benton,Oregon,Oregon,Benton,,,bumble bee flew into my house,1,net,apm,1,,
10330143,3/20/2018,2018-03-20 19:57:48 UTC,429964,https://static.inaturalist.org/photos/14319667/medium.jpeg?1521576706,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56745898,-123.2832032,8,,Benton,Oregon,Oregon,Benton,Osmanthus × burkwoodii,,OSU pollinator garden,3,net,apm,2,,
10330837,3/20/2018,2018-03-20 20:42:53 UTC,429964,https://static.inaturalist.org/photos/14320640/medium.jpeg?1521579462,"NE Smith Ln, Corvallis, OR 97333, USA",44.56543029,-123.2409816,5,,Linn,Oregon,Oregon,Linn,Salix,,OSU organic club farm,5,net,apm,3,,
10507984,3/29/2018,2018-03-29 20:38:49 UTC,429964,https://static.inaturalist.org/photos/14618284/medium.jpeg?1522424362,"17701 Gopher Valley Rd, Sheridan, OR 97378, USA",45.13396833,-123.372543,16,,Yamhill,Oregon,Oregon,Yamhill,Arctostaphylos densiflora,,,1,net,apm,4,,
10529001,3/31/2018,2018-03-31 17:49:33 UTC,429964,https://static.inaturalist.org/photos/14656613/medium.jpeg?1522518658,"Coos County, US-OR, US",43.39458552,-124.2532426,15,,Coos,Oregon,Oregon,Coos,Glandora diffusa,,,1,net,apm,5,,
10534831,3/31/2018,2018-03-31 22:12:02 UTC,429964,https://static.inaturalist.org/photos/14666666/medium.jpeg?1522536312,"2075 Overleaf Loop, Yachats, OR 97498, USA",44.32433021,-124.1038733,6,,Lincoln,Oregon,Oregon,Lincoln,Ceanothus gloriosus,,,6,net,apm,6,,
10556591,3/31/2018,2018-03-31 22:53:38 UTC,429964,https://static.inaturalist.org/photos/14704276/medium.jpeg?1522623152,"804 Trail, Yachats, OR 97498, USA",44.32584701,-124.1035201,7,,Lincoln,Oregon,Oregon,Lincoln,Salix,,,3,net,apm,7,,
11141260,4/18/2018,2018-04-18 21:16:18 UTC,429964,https://static.inaturalist.org/photos/15761810/medium.jpeg?1524094893,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56757934,-123.2830002,6,,Benton,Oregon,Oregon,Benton,Ceanothus,,OSU,7,net,apm,8,,
11286903,4/21/2018,2018-04-21 21:42:24 UTC,429964,https://static.inaturalist.org/photos/16052556/medium.jpeg?1524347025,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56755587,-123.2829928,11,,Benton,Oregon,Oregon,Benton,Ceanothus,,osu,5,net,apm,9,,
11293629,4/21/2018,2018-04-22 00:11:42 UTC,429964,https://static.inaturalist.org/photos/16066126/medium.jpeg?1524356397,"2708 NW Johnson Ave, Corvallis, OR 97330, USA",44.56846237,-123.2815094,,,Benton,Oregon,Oregon,Benton,Andrena miserabilis,,,12,net,apm,10,,
12167479,5/5/2018,2018-05-05 18:33:00 UTC,429964,https://static.inaturalist.org/photos/17487591/medium.jpeg?1525565933,"753-853 SW 35th St, Corvallis, OR 97333, USA",44.5598512,-123.2882593,57,,Benton,Oregon,Oregon,Benton,Berberidaceae,,oak creek,3,net,apm,11,,
12179292,5/5/2018,2018-05-05 18:43:05 UTC,429964,https://static.inaturalist.org/photos/17487648/medium.jpeg?1525566027,"Benton County, US-OR, US",44.56012202,-123.2888956,7,,Benton,Oregon,Oregon,Benton,Ceanothus cuneatus,,oak creek,3,net,apm,12,,
12179371,5/5/2018,2018-05-05 18:50:43 UTC,429964,https://static.inaturalist.org/photos/17487701/medium.jpeg?1525566127,"671-733 SW 35th St, Corvallis, OR 97331, USA",44.56055649,-123.2888625,5,,Benton,Oregon,Oregon,Benton,Prunus,,,3,net,apm,13,,
12179389,5/5/2018,2018-05-05 19:45:20 UTC,429964,https://static.inaturalist.org/photos/17487716/medium.jpeg?1525566156,"1150 SW Philomath Blvd, Corvallis, OR 97333, USA",44.55474977,-123.2700239,12,,Benton,Oregon,Oregon,Benton,Camassia quamash quamash,,pioneer park,7,net,apm,14,,
12538356,5/16/2018,2018-05-16 23:41:13 UTC,429964,https://static.inaturalist.org/photos/18110014/medium.jpeg?1526542845,"Vietnam Veterans Memorial Highway, The Dalles, OR 97058, USA",45.6732348,-121.2645058,2900,,Wasco,Oregon,Oregon,Wasco,Ceanothus,,,1,net,apm,15,,
12538376,5/16/2018,2018-05-16 23:59:05 UTC,429964,https://static.inaturalist.org/photos/18110053/medium.jpeg?1526542910,"5343-5573 Historic Columbia River Hwy, The Dalles, OR 97058, USA",45.66837605,-121.2456915,9,,Wasco,Oregon,Oregon,Wasco,Vicia,,,6,net,apm,16,,
12563019,5/17/2018,2018-05-17 23:53:43 UTC,429964,https://static.inaturalist.org/photos/18151035/medium.jpeg?1526605917,"7725 Mosier-The Dalles Hwy, The Dalles, OR 97058, USA",45.6874803,-121.338421,8,,Wasco,Oregon,Oregon,Wasco,,,,0,pan trap,apm,17,2018-05-17T16:54:00-07:00,2018-05-20T18:38:00-07:00
12563022,5/17/2018,2018-05-18 00:11:51 UTC,429964,https://static.inaturalist.org/photos/18151040/medium.jpeg?1526605934,"7725 Mosier-The Dalles Hwy, The Dalles, OR 97058, USA",45.68750882,-121.3384288,4,,Wasco,Oregon,Oregon,Wasco,Vicia,,,7,net,apm,18,,
12563026,5/17/2018,2018-05-18 00:47:51 UTC,429964,https://static.inaturalist.org/photos/18151048/medium.jpeg?1526605956,"6364-6638 Historic Columbia River Hwy, Mosier, OR 97040, USA",45.68124182,-121.2999989,5,,Wasco,Oregon,Oregon,Wasco,,,,0,pan trap,apm,19,2018-05-17T17:48:00-07:00,2018-05-20T18:50:00-07:00
12563031,5/17/2018,2018-05-18 01:05:01 UTC,429964,https://static.inaturalist.org/photos/18151057/medium.jpeg?1526605973,"5343-5573 Historic Columbia River Hwy, The Dalles, OR 97058, USA",45.66812988,-121.2434618,6,,Wasco,Oregon,Oregon,Wasco,,,,0,pan trap,apm,20,2018-05-17T18:05:00-07:00,2018-05-20T19:08:00-07:00
12563037,5/17/2018,2018-05-18 01:10:28 UTC,429964,https://static.inaturalist.org/photos/18151063/medium.jpeg?1526605988,"5343-5573 Historic Columbia River Hwy, The Dalles, OR 97058, USA",45.66801779,-121.2435692,4,,Wasco,Oregon,Oregon,Wasco,,,,0,vane trap,apm,21,2018-05-17T18:11:00-07:00,2018-05-20T19:11:00-07:00
12662359,5/20/2018,2018-05-21 01:10:27 UTC,429964,https://static.inaturalist.org/photos/18322833/medium.jpeg?1526865203,"Mosier Plateau Trail, Mosier, OR 97040, USA",45.68700865,-121.3852011,4,,Wasco,Oregon,Oregon,Wasco,,,,0,pan trap,apm,22,2018-05-17T14:30:00-07:00,2018-05-20T18:12:00-07:00
13670613,6/22/2018,2018-06-22 14:07:25 UTC,429964,https://static.inaturalist.org/photos/20131518/medium.jpeg?1529681868,"Lane County, US-OR, US",43.69682915,-122.2659848,8,,Lane,Oregon,Oregon,Lane,,,,0,pan trap,apm,22vi-1,2018-06-22T07:09:00-07:00,
13670640,6/22/2018,2018-06-22 14:38:45 UTC,429964,https://static.inaturalist.org/photos/20131587/medium.jpeg?1529681941,"Lane County, US-OR, US",43.61924326,-122.1086463,12,,Lane,Oregon,Oregon,Lane,,,,0,pan trap,apm,22vi2,2018-06-22T07:40:00-07:00,2018-06-22T19:18:00-07:00
13670692,6/22/2018,2018-06-22 15:03:26 UTC,429964,https://static.inaturalist.org/photos/20131652/medium.jpeg?1529682027,"Crescent, OR 97733, USA",43.5502238,-121.9507267,5,,Klamath,Oregon,Oregon,Klamath,,,,0,pan trap,apm,22vi3,2018-06-22T08:04:00-07:00,2018-06-22T18:58:00-07:00
13670700,6/22/2018,2018-06-22 15:17:48 UTC,429964,https://static.inaturalist.org/photos/20131673/medium.jpeg?1529682063,"Klamath County, US-OR, US",43.47261325,-121.8927594,8,,Klamath,Oregon,Oregon,Klamath,,,,0,pan trap,apm,22vi4,2018-06-22T08:18:00-07:00,2018-06-22T18:39:00-07:00
13670726,,,429964,https://static.inaturalist.org/photos/20131715/medium.jpeg?1529682104,"OR-58, Crescent, OR 97733, USA",43.34929387,-121.774207,9,,Klamath,Oregon,Oregon,Klamath,,,,0,pan trap,apm,22vi5,2018-06-22T08:41:00-07:00,2018-06-22T18:21:00-07:00
13679921,6/22/2018,2018-06-22 15:46:22 UTC,429964,https://static.inaturalist.org/photos/20147616/medium.jpeg?1529701236,"Klamath County, US-OR, US",43.33986565,-121.7652458,7,,Klamath,Oregon,Oregon,Klamath,Angiospermae,,,0,pan trap,apm,22vi6,2018-06-22T08:47:00-07:00,
13685289,6/22/2018,2018-06-22 23:55:49 UTC,429964,https://static.inaturalist.org/photos/20156687/medium.jpeg?1529711899,"28900 The Dalles-California Hwy, Chiloquin, OR 97624, USA",42.48851537,-121.8768645,6,,Klamath,Oregon,Oregon,Klamath,Eschscholzia californica,,,7,net,apm,22vi7,,
13722414,6/22/2018,2018-06-23 03:01:32 UTC,429964,https://static.inaturalist.org/photos/20218165/medium.jpeg?1529804307,"Lane County, US-OR, US",43.69662224,-122.2661554,9,,Lane,Oregon,Oregon,Lane,,,,5,net,apm,22vi8,,
13722509,,,429964,https://static.inaturalist.org/photos/20273413/medium.jpeg?1529882605,"Sisters, OR 97759, USA",44.43262137,-121.9591404,7,,Linn,Oregon,Oregon,Linn,,,,0,pan trap,apm,23vi1,2018-06-23T18:36:00-07:00,2018-06-24T17:30:00-07:00
13753464,6/23/2018,2018-06-24 01:48:21 UTC,429964,https://static.inaturalist.org/photos/20273452/medium.jpeg?1529882647,"NF-830, Sisters, OR 97759, USA",44.42427151,-121.918275,3,,Linn,Oregon,Oregon,Linn,,,,0,pan trap,apm,23vi2,2018-06-23T18:48:00-07:00,
13753484,6/23/2018,2018-06-24 02:19:34 UTC,429964,https://static.inaturalist.org/photos/20273508/medium.jpeg?1529882700,"US-20, Sisters, OR 97759, USA",44.36373972,-121.6168436,6,,Deschutes,Oregon,Oregon,Deschutes,,,,0,pan trap,apm,23vi3,2018-06-23T19:20:00-07:00,2018-06-24T16:27:00-07:00
12527145,5/16/2018,2018-05-16 22:37:42 UTC,429964,https://static.inaturalist.org/photos/18089738/medium.jpeg?1526510321,"Riverfront Trail, The Dalles, OR 97058, USA",45.63040276,-121.1981075,5,,Wasco,Oregon,Oregon,Wasco,,,,0,nest block,apm,block 130,,
