id,observed_on,user_id,place_guess,latitude,longitude,place_town_name,place_county_name,place_admin1_name,place_admin2_name,field:flower bee is visiting,field:location name,field:number of bees collected,field:oba collection method,field:oba collector id,field:sample id,field:trap installed,field:trap removed
13726240,6/23/2018,175529,"Polk County, US-OR, US",44.78088984,-123.3891325,,Polk,Oregon,Polk,,,1,net,JLP,44,,
13836236,6/27/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60285302,-123.2635087,,Benton,Oregon,Benton,,,7,net,JLP,45,,
13843425,6/27/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60281958,-123.2636229,,Benton,Oregon,Benton,,,8,net,JLP,46,,
13922439,6/30/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60268233,-123.2642658,,Benton,Oregon,Benton,,,5,net,JLP,47,,
14115388,7/6/2018,175529,"Smith Ln, Corvallis, OR, US",44.565732,-123.240585,,Linn,Oregon,Linn,,OSU Organic Growers Club Garden,6,net,JLP,48,,
14115426,7/6/2018,175529,"Smith Ln, Corvallis, OR, US",44.56573875,-123.2406626,,Linn,Oregon,Linn,,OSU Organic Growers Club garden,4,net,JLP,49,,
14118272,7/6/2018,175529,"Smith Ln Corvallis, OR, US",44.56573875,-123.2405626,,Linn,Oregon,Linn,,OSU Organic Growers Club garden,7,net,JLP,50,,
14141175,7/7/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60277884,-123.2648611,,Benton,Oregon,Benton,,,2,net,JLP,51,,
14141890,7/7/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60266112,-123.264699,,Benton,Oregon,Benton,,,2,net,JLP,52,,
14142248,7/7/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60306705,-123.264633,,Benton,Oregon,Benton,,,2,net,JLP,53,,
14142945,7/7/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60296446,-123.2648778,,Benton,Oregon,Benton,,,1,net,JLP,54,7/7/2018 13:30,
14170343,7/8/2018,175529,"1599 NW Bonney Dr, Corvallis, OR, US",44.60220372,-123.2665251,,Benton,Oregon,Benton,,,3,net,JLP,55,,
14171054,7/8/2018,175529,"1301–1599 NW Highland Dell Dr, Corvallis, OR, US",44.60211642,-123.2664697,,Benton,Oregon,Benton,,,2,net,JLP,57,,
13987425,6/14/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,Polk,,Luckiamute State Natural Area,2,net,JAB,31,,
13987468,6/14/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,Polk,,Luckiamute State Natural Area,4,net,JAB,32,,
13987508,6/14/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,Polk,,Luckiamute State Natural Area,1,net,JAB,33,,
13988474,6/15/2018,271351,NWREC,45.28177,-122.74948,,Clackamas,Oregon,Clackamas,,NWREC,3,pan trap,jab,34,9:15,11:45
13988253,6/20/2018,271351,Heritage Seeds - Jefferson Farm,44.786746,-123.016869,,Marion,Oregon,Marion,,Heritage Seeds - Jefferson Farm,6,net,JAB,35,,
13989271,6/22/2018,271351,Near Hampton,43.57966,-120.02146,,Lake,Oregon,Lake,,Near Hampton,1,net,JAB,36,,
13989528,6/22/2018,271351,Near Chickahominy Reservoir,43.55196,-119.62032,,Harney,Oregon,Harney,,Near Chickahominy Reservoir,3,net,JAB,37,,
13989856,6/23/2018,271351,Near Idlewild Campground,43.9971,-118.99174,,Grant,Oregon,Grant,,Near Idlewild Campground,11,net,JAB,38,,
13989929,6/23/2018,271351,Near Idlewild Campground,43.9971,-118.99174,,Grant,Oregon,Grant,,Near Idlewild Campground,11,pan trap,JAB,39,,
13990150,6/23/2018,271351,Near Idlewild Campground ,43.9971,-118.99174,,Grant,Oregon,Grant,,near Idlewild Campground,3,net,JAB,40,,
13991949,6/25/2018,271351,Off South Steens Rd.,42.770211,-118.744515,,Harney,Oregon,Harney,,Off South Steens Rd.,3,net,JAB,41,,
13992002,6/25/2018,271351,Off South Steens Rd.,42.770211,-118.744515,,Harney,Oregon,Harney,,Off South Steens Mt. Rd.,4,net,JAB,42,,
13992409,6/25/2018,271351,Near Blitzen River,42.63839,-118.76425,,Harney,Oregon,Harney,,Near Blitzen Rv.,4,net,JAB,43,,
13992541,6/26/2018,271351,Sage hen hill trail at rest area,43.53224,-119.32041,,Harney,Oregon,Harney,,Sage Hen Hill Trail at rest area,3,net,JAB,44,,
13986772,6/14/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,Polk,,Luckiamute State Natural Area,6,net,TER,53,,
13986899,6/14/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,Polk,,Luckiamute State Natural Area,1,net,TER,54,,
13987309,6/14/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,Polk,,Luckiamute State Natural Area,1,net,TER,55,,
13988088,6/20/2018,271351,Heritage Seeds - Jefferson Farm,44.786746,-123.016869,,Marion,Oregon,Marion,,Heritage Seeds - Jefferson Farm,2,net,TER,56,,
13988190,6/20/2018,271351,Heritage Seeds - Jefferson Farm,44.786746,-123.016869,,Marion,Oregon,Marion,,Heritage Seeds -Jefferson Farm,3,net,TER,57,,
13988913,6/20/2018,271351,Near Ankeny NWR,44.76802,-123.07394,,Marion,Oregon,Marion,,Near Ankeny NWR,4,net,TER,58,,
13989233,6/22/2018,271351,Near Hampton,43.57966,-120.02146,,Lake,Oregon,Lake,,Near Hampton,5,net,TER,59,,
13989393,6/22/2018,271351,Near Chickahominy Reservoir,43.55196,-119.62032,,Harney,Oregon,Harney,,Near Chickahominy,1,net,TER,60,,
13989486,6/22/2018,271351,Near Chickahominy Reservoir,43.55196,-119.62032,,Harney,Oregon,Harney,,Near Chickahominy Reservoir,1,net,TER,61,,
13989582,6/23/2018,271351,Near Idlewild Campground,43.9971,-118.99174,,Grant,Oregon,Grant,,Near Idlewild Campground,9,net,TER,62,,
13989641,6/23/2018,271351,Near Idlewild Campground,43.9971,-118.99174,,Grant,Oregon,Grant,,Near Idlewild Campground,3,net,TER,63,,
13989697,6/23/2018,271351,Near Idlewild Campground,43.9971,-118.99174,,Grant,Oregon,Grant,,Near Idlewild Campground,3,net,TER,64,,
13990342,6/23/2018,271351,Forest Service Rd. 3140,43.92196,-119.03603,,Harney,Oregon,Harney,,FS Rd. 3140,2,net,TER,65,,
13990494,6/25/2018,271351,Near Krumbow Lake Turnoff HW 205,42.97167,-118.86815,,Harney,Oregon,Harney,,Near Krumbow Lake Turnoff HW 205,28,vane trap,TER,66,6/24/2018 14:45,6/25/2018 17:25
13990538,6/24/2018,271351,Near Borax Lake,42.32737,-118.61018,,Harney,Oregon,Harney,,Near Borax Lake,3,net,TER,67,,
13991780,6/25/2018,271351,On South Steens Rd.,42.770211,-118.744515,,Harney,Oregon,Harney,,On South Steens Rd.,8,net,TER,68,,
13992106,6/25/2018,271351,Off South Steens Rd. Near Unnamed Lake,42.73891,-118.63927,,Harney,Oregon,Harney,,Off South Steens Rd. Near unnamed Lake,13,net,TER,69,,
14061839,6/16/2018,384451,"Oregon, Gresham, Headwater Farm",45.464972,-122.367553,,Multnomah,Oregon,Multnomah,,"Oregon, Gresham, Headwater Farm",2,net,DRB,22,,
14062219,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.160038,-123.951226,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",3,net,DRB,23,,
14062277,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.159849,-123.951671,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",2,net,DRB,24,,
14062343,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.159849,-123.951671,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",5,net,DRB,25,,
14062583,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.159849,-123.951671,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",8,net,DRB,26,,
14062642,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.159849,-123.951671,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",2,net,DRB,27,,
14062718,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.159849,-123.951671,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",1,net,DRB,28,,
14062771,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.159849,-123.951671,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",2,net,DRB,29,,
14062851,6/19/2018,384451,"Oregon, Clatsop County, Warrenton, Camp Kiwanilong",46.159849,-123.951671,,Clatsop,Oregon,Clatsop,,"Oregon, Clatsop Co, Warrenton, Camp Kiwanilong",1,net,DRB,30,,
14063021,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848995,-122.86927,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",1,net,DRB,31,,
14063089,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",1,net,DRB,31,,
14063144,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",1,net,DRB,32,,
14063182,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",1,net,DRB,33,,
14063220,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",2,net,DRB,34,,
14063249,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",3,net,DRB,35,,
14063300,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",1,net,DRB,36,,
14063329,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",4,net,DRB,37,,
14063365,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",1,net,DRB,38,,
14063381,6/26/2018,384451,"Oregon, St Helens, Fairgrounds, Demo Garden",45.848991,-122.869367,,Columbia,Oregon,Columbia,,"Oregon, St. Helens, Fairgrounds, Demo Garden",1,net,DRB,39,,
13670613,6/22/2018,429964,"Lane County, US-OR, US",43.69682915,-122.2659848,,Lane,Oregon,Lane,,,0,pan trap,apm,22vi-1,2018-06-22T07:09:00-07:00,
